Time (UTC +02:00 yyyy-MM-dd HH:mm:ss);Frequency (A) (Hz)
2026-05-13 10:24:44;160256,4
2026-05-13 10:24:44;122549,016
2026-05-13 10:24:44;175233,64
2026-05-13 10:24:44;208333,33
2026-05-13 10:24:44;212585,02
2026-05-13 10:24:44;191326,52
2026-05-13 10:24:44;195312,5
2026-05-13 10:24:44;183823,53
2026-05-13 10:24:44;94696,98
2026-05-13 10:24:44;284090,9
2026-05-13 10:24:44;162337,67
2026-05-13 10:24:44;151209,67
2026-05-13 10:24:44;147058,83
2026-05-13 10:24:44;93984,96
2026-05-13 10:24:44;NaN
2026-05-13 10:24:44;107758,62
2026-05-13 10:24:44;312500
2026-05-13 10:24:44;115740,75
2026-05-13 10:24:44;238095,23
2026-05-13 10:24:44;260416,67
2026-05-13 10:24:44;176886,8
2026-05-13 10:24:44;225903,61
